name,a_au,e,i_deg,omega_deg,Omega_deg,mean_anomaly_deg,epoch,frame,source,validation_status,selection_included,selection_reason,selection_notes
2001_FP185,220.7545067,0.84492276,30.77926,6.76597,179.32889,1.14944,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
Sedna,532.2664228,0.8569625,11.92861,311.18801,144.52976,358.1926,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2000_CR105,229.9196589,0.80773939,22.70769,317.09262,128.23495,5.04601,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2002_GB32,209.4649254,0.83128842,14.18242,36.88563,177.01044,0.02717,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2003_HB57,161.1315216,0.7636293,15.4954,10.63985,197.85952,0.94565,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2003_SS422,197.419645,0.8002329,16.80405,209.98241,151.10109,0.64285,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2004_VN112,333.5527773,0.85809672,25.52708,327.23428,66.0493,0.2705,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2005_RH52,152.6816879,0.74449569,20.46892,32.59337,306.19829,2.07538,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2007_TG422,531.9002265,0.93310126,18.5795,285.83713,112.98155,0.24962,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
2007_VJ305,192.387872,0.81702908,11.98914,338.5314,24.3842,1.12473,2456800.5_JD_2014-05-23.0_TDB,heliocentric_ecliptic_J2000,"de la Fuente Marcos & de la Fuente Marcos (2014), MNRAS Letters (arXiv:1406.0715), Table A1; elements originally from JPL Small-Body Database",validated,True,a_au_gt_150_and_q_gt_30,"Osculating heliocentric ecliptic J2000 elements, single consistent epoch across all 13 objects. Mean anomaly M = (lambda - pomega) mod 360, computed from the paper's tabulated mean longitude (lambda) and longitude of perihelion (pomega = Omega + omega); not itself tabulated by the source."
